clip_id,rep,opponent,party,out_party,total_words,words_per_second,approve_location,rep_count,opponent_count,party_count,out_party_count,trump_count,rep_locations,opponent_locations,party_locations,out_party_locations,trump_locations
00064,lauriebuckhout,dondavis,republican,democrat,76,2.533333333333333,28.026315789473685,0,0,0,0,0,[],[],[],[],[]
00065,lauriebuckhout,dondavis,republican,democrat,88,2.933333333333333,24.204545454545453,0,0,0,0,0,[],[],[],[],[]
00067,lauriebuckhout,dondavis,republican,democrat,72,2.4,27.5,0,2,0,1,0,[],"[0.20833333333333331, 15.625000000000002]",[],[5.833333333333333],[]
00068,lauriebuckhout,dondavis,republican,democrat,77,2.566666666666667,26.883116883116884,0,1,0,0,0,[],[21.623376623376622],[],[],[]
00070,yvetteherrell,gabevasquez,republican,democrat,77,2.566666666666667,28.441558441558442,0,2,0,0,0,[],"[9.545454545454545, 26.2987012987013]",[],[],[]
00071,yvetteherrell,xochitltorressmall,republican,democrat,82,2.7333333333333334,26.70731707317073,0,0,0,0,0,[],[],[],[],[]
00072,yvetteherrell,xochitltorressmall,republican,democrat,90,3.0,26.333333333333332,0,0,0,1,0,[],[],[],[12.0],[]
00073,yvetteherrell,xochitltorressmall,republican,democrat,82,2.7333333333333334,,0,0,0,0,0,[],[],[],[],[]
00074,yvetteherrell,gabevasquez,republican,democrat,96,3.2,28.125,0,2,0,0,0,[],"[2.34375, 23.59375]",[],[],[]
00075,yvetteherrell,xochitltorressmall,republican,democrat,80,2.6666666666666665,24.375,0,0,0,0,0,[],[],[],[],[]
00076,yvetteherrell,xochitltorressmall,republican,democrat,103,3.433333333333333,28.83495145631068,0,0,0,0,0,[],[],[],[],[]
00077,yvetteherrell,gabevasquez,republican,democrat,84,2.8,22.142857142857146,0,0,0,0,0,[],[],[],[],[]
00079,dinatitus,markrobertson,democrat,republican,95,3.1666666666666665,25.57894736842105,0,0,0,0,0,[],[],[],[],[]
00080,dinatitus,markrobertson,democrat,republican,84,2.8,25.357142857142858,0,0,0,0,0,[],[],[],[],[]
00081,lauriebuckhout,dondavis,republican,democrat,71,2.3666666666666667,27.464788732394368,0,0,0,0,2,[],[],[],[],"[0.4225352112676056, 15.211267605633802]"
00082,lisamcclain,kimberlybizon,republican,democrat,73,2.433333333333333,27.123287671232877,3,0,1,0,1,"[0.6164383561643836, 26.095890410958905, 29.383561643835616]",[],[4.931506849315069],[],[18.082191780821915]
00083,lisamcclain,kimberlybizon,republican,democrat,74,2.466666666666667,25.135135135135133,2,0,0,0,0,"[0.6081081081081081, 24.12162162162162]",[],[],[],[]
00084,lisamcclain,kimberlybizon,republican,democrat,77,2.566666666666667,28.441558441558442,2,0,0,0,1,"[0.5844155844155844, 27.467532467532468]",[],[],[],[10.90909090909091]
00085,rashidatlaib,jameshooper,democrat,republican,85,2.8333333333333335,25.058823529411764,1,0,0,0,0,[24.176470588235293],[],[],[],[]
00087,rashidatlaib,stevenelliott,democrat,republican,88,2.933333333333333,28.636363636363637,1,0,0,0,0,[25.397727272727273],[],[],[],[]
00091,rashidatlaib,stevenelliott,democrat,republican,89,2.966666666666667,28.651685393258425,1,0,0,0,0,[26.123595505617978],[],[],[],[]
00092,rashidatlaib,detroitjanicewinfrey,democrat,republican,66,2.2,,1,0,0,0,1,[23.863636363636363],[],[],[],[11.363636363636363]
00093,rashidatlaib,detroitjanicewinfrey,democrat,republican,66,2.2,,0,0,0,0,0,[],[],[],[],[]
00094,angiecraig,joeteirab,democrat,republican,107,3.566666666666667,1.1214953271028036,1,0,0,0,0,[0.4205607476635514],[],[],[],[]
00095,angiecraig,joeteirab,democrat,republican,83,2.7666666666666666,27.83132530120482,4,0,0,0,0,"[3.4337349397590358, 24.03614457831325, 24.759036144578314, 26.927710843373493]",[],[],[],[]
00096,angiecraig,joeteirab,democrat,republican,88,2.933333333333333,1.3636363636363638,1,0,0,0,0,[0.5113636363636364],[],[],[],[]
00098,angiecraig,joeteirab,democrat,republican,79,2.6333333333333333,23.544303797468352,1,0,0,0,0,[0.569620253164557],[],[],[],[]
00101,angiecraig,joeteirab,democrat,republican,93,3.1,21.612903225806452,2,0,0,0,0,"[0.4838709677419355, 20.806451612903228]",[],[],[],[]
00103,angiecraig,joeteirab,democrat,republican,79,2.6333333333333333,24.68354430379747,2,0,0,0,0,"[2.4683544303797467, 23.734177215189874]",[],[],[],[]
00105,angiecraig,joeteirab,democrat,republican,91,3.033333333333333,28.681318681318682,2,0,0,0,0,"[22.912087912087912, 27.857142857142858]",[],[],[],[]
00108,angiecraig,joeteirab,democrat,republican,92,3.066666666666667,28.695652173913043,3,0,0,1,0,"[10.923913043478262, 25.597826086956523, 27.880434782608695]",[],[],[23.804347826086957],[]
00113,angiecraig,joeteirab,democrat,republican,71,2.3666666666666667,27.464788732394368,2,0,0,0,0,"[0.6338028169014085, 26.408450704225352]",[],[],[],[]
00115,michellefischbach,a.j.peters,republican,democrat,70,2.3333333333333335,27.428571428571427,6,0,0,0,3,"[4.071428571428571, 6.214285714285714, 14.785714285714286, 19.5, 25.071428571428573, 26.357142857142858]",[],[],[],"[12.857142857142856, 13.714285714285714, 23.142857142857142]"
00117,michellefischbach,jillabahsain,republican,democrat,84,2.8,24.285714285714285,2,0,0,0,0,"[4.107142857142858, 23.392857142857142]",[],[],[],[]
00118,michellefischbach,collinpeterson,republican,democrat,88,2.933333333333333,27.272727272727273,2,0,0,0,0,"[16.19318181818182, 26.420454545454547]",[],[],[],[]
00119,michellefischbach,collinpeterson,republican,democrat,81,2.7,28.51851851851852,3,0,0,0,0,"[17.22222222222222, 23.51851851851852, 27.59259259259259]",[],[],[],[]
00120,michellefischbach,collinpeterson,republican,democrat,79,2.6333333333333333,28.481012658227847,4,0,0,0,5,"[5.506329113924051, 8.164556962025317, 25.632911392405063, 27.531645569620252]",[],[],[],"[2.278481012658228, 6.8354430379746836, 11.012658227848101, 19.746835443037973, 22.78481012658228]"
00121,michellefischbach,collinpeterson,republican,democrat,81,2.7,,1,0,0,0,1,[22.40740740740741],[],[],[],[25.185185185185183]
00122,michellefischbach,collinpeterson,republican,democrat,59,1.9666666666666666,,0,0,0,0,1,[],[],[],[],[0.5084745762711864]
00124,susielee,drewjohnson,democrat,republican,79,2.6333333333333333,28.481012658227847,1,3,0,0,0,[27.531645569620252],"[2.848101265822785, 4.746835443037975, 16.518987341772153]",[],[],[]
00126,susielee,drewjohnson,democrat,republican,77,2.566666666666667,28.441558441558442,0,0,0,0,0,[],[],[],[],[]
00127,susielee,aprilbecker,democrat,republican,84,2.8,28.57142857142857,0,2,0,0,0,[],"[1.607142857142857, 10.892857142857142]",[],[],[]
00128,susielee,aprilbecker,democrat,republican,82,2.7333333333333334,28.536585365853657,0,2,0,0,0,[],"[1.646341463414634, 3.8414634146341466]",[],[],[]
00129,susielee,aprilbecker,democrat,republican,77,2.566666666666667,26.883116883116884,0,1,0,0,0,[],[4.87012987012987],[],[],[]
00130,susielee,aprilbecker,democrat,republican,80,2.6666666666666665,28.5,0,2,0,0,0,[],"[10.6875, 17.4375]",[],[],[]
00138,susielee,danrodimer,democrat,republican,72,2.4,1.6666666666666665,1,2,0,0,0,[0.625],"[8.541666666666666, 14.375]",[],[],[]
00141,susielee,danrodimer,democrat,republican,119,3.966666666666667,,1,0,0,0,0,[0.12605042016806722],[],[],[],[]
00142,susielee,danrodimer,democrat,republican,78,2.6,28.46153846153846,0,0,0,0,0,[],[],[],[],[]
00143,susielee,danrodimer,democrat,republican,8,0.26666666666666666,15.0,0,0,0,0,0,[],[],[],[],[]
00149,susielee,danrodimer,democrat,republican,70,2.3333333333333335,28.285714285714285,0,3,0,0,0,[],"[5.357142857142858, 10.5, 19.928571428571427]",[],[],[]
00153,elisestefanik,mattcastelli,republican,democrat,100,3.3333333333333335,1.2,1,0,0,2,0,[0.44999999999999996],[],[],"[6.3, 20.400000000000002]",[]
00154,elisestefanik,mattcastelli,republican,democrat,71,2.3666666666666667,24.929577464788732,2,0,0,0,0,"[0.6338028169014085, 23.87323943661972]",[],[],[],[]
00155,elisestefanik,mattcastelli,republican,democrat,77,2.566666666666667,27.662337662337663,2,0,0,2,0,"[12.662337662337661, 26.68831168831169]",[],[],"[0.7792207792207793, 3.5064935064935066]",[]
00156,elisestefanik,tedracobb,republican,democrat,84,2.8,1.4285714285714284,1,2,0,0,0,[0.5357142857142857],"[3.75, 24.464285714285715]",[],[],[]
